[Configuration]
controller_type = dlqr-event
reference_type = sine-wave
A = [ [ 9.9860906100e-01  ,  -1.1312366800e-04 ] , [ 9.9860906100e-01  ,  -1.1312366800e-04 ] ] 
B = [ [ 8.6104000000e-03] , [8.0799000000e-04 ]]
K = [ [ -5.0501400000e+01  ,  -9.2400000000e+02 ]]
event_a = 1.0000000000e+01
event_b = 2.0000000000e-01
event_sigma = 1.0000000000e-02
refresh_rate = 4.3674053192e+01

[Table]
time_us,pulse_qc,setpoint_current_mA,actual_current_mA,epos_velocity_unfiltered_rpm,calculated_velocity_rad/s,tracked_reference,event_max_error,event_error
             1526713,                -316,   -1.6042628174e+03,               -1600,                   0,    8.1140983105e-01,   -3.9437896729e+02,    7.2108359337e+00,    1.0993280411e+01
             1536757,                -306,   -5.0365366211e+03,               -1568,                  30,    8.9366614819e-01,   -3.8937966919e+02,    7.2011609077e+00,    0.0000000000e+00
             1546714,                -291,   -5.0365366211e+03,               -1632,                  60,    1.3522119522e+00,   -3.8289340210e+02,    7.1960549355e+00,    8.5260829926e+00
             1556756,                -273,   -6.6294233398e+03,               -1600,                  60,    1.6089173555e+00,   -3.7483447266e+02,    7.1926302910e+00,    0.0000000000e+00
             1566785,                -268,   -6.6294233398e+03,               -5016,                   0,    4.4750285149e-01,   -3.6529711914e+02,    7.1711521149e+00,    4.6836423874e+00
             1576756,                -270,   -6.6294233398e+03,               -5048,                   0,   -1.8004237115e-01,   -3.5437734985e+02,    7.1393399239e+00,    1.7548543930e+01
             1586711,                -274,   -3.1052861328e+03,               -6660,                 -30,   -3.6066198349e-01,   -3.4208798218e+02,    7.1033787727e+00,    0.0000000000e+00
             1596756,                -284,   -3.1052861328e+03,               -6628,                 -30,   -8.9357566833e-01,   -3.2833148193e+02,    7.0579900742e+00,    2.3762451172e+01
             1606714,                -295,   -1.3232884407e+01,               -6644,                 -30,   -9.9152427912e-01,   -3.1340347290e+02,    7.0100708008e+00,    0.0000000000e+00
             1616755,                -292,   -1.3232884407e+01,               -3083,                  30,    2.6817932725e-01,   -2.9710934448e+02,    6.9777970314e+00,    1.3353692055e+01
             1626714,                -287,   -5.1794139862e+01,               -3099,                   0,    4.5064678788e-01,   -2.7978033447e+02,    6.9649677277e+00,    0.0000000000e+00
